#《禮記·中庸》中古音及中州音
# v20190526
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin	reference
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
求	gjuw	kʱiw˩	
於	’jo	ʔy	
人。	nyin	ʒin˩	
則	tsok	tsəʔ(k)	
無	mju	vu˩	
怨。	"’jwonH/
’jwon"	"ʔyuɛn˨˦/
ʔyuɛn˧"	【音義】
上	dzyangH	ʃʱiɑŋ˨˦	
不	pjuw	puʔ(t)	
怨	"’jwonH/
’jwon"	"ʔyuɛn˨˦/
ʔyuɛn˧"	【音義】
天。	then	tʰiɛn	
下	haeX	ɦia'˨˦	
不	pjuw	puʔ(t)	
尤	hjuw	jiw˩	
人。	nyin	ʒin˩	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
居	kjo	ky	
易	yeH	ji˨˦	【音義】【集註】
以	yiX	ji˥˧	
俟	zriX	sʱɨ'˨˦	
命。	mjaengH	miŋ˨˦	
小	sjewX	siɛw˥˧	
人	nyin	ʒin˩	
行	haeng	ɦiŋ˩	
險	xjemX	hiɛm˥˧	
以	yiX	ji˥˧	
徼	kew	kiɛw	【音義】
幸。	heangX	ɦiŋ'˨˦	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
射	zyaeH	ʃʱiɛ˨˦	
有	hjuwX	jiw˥˧	
似	ziX	sʱɨ'˨˦	
乎	hu	ɦu˩	
君	kjun	kyun	
子。	tsiX	tsɨ˥˧	
失	syit	ʃiʔ(t)	
諸	tsyo	tʃy	
正	tsyeng	tʃiŋ	【音義】【集註】
鵠。	kowk	kuʔ(k)	【音義】【集註】
反	pjonX	fan˥˧	
求	gjuw	kʱiw˩	
諸	tsyo	tʃy	
其	gi	kʱi˩	
身。	syin	ʃin	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
道。	dawX	daw'˨˦	
辟	phjieH	pʰi˨˦	【音義】【集註】
如	nyo	ʒy˩	
行	haeng	ɦiŋ˩	
遠	hjwonX	jyuɛn˥˧	
必	pjit	piʔ(t)	
自	dzijH	dzɨ˨˦	
邇。	nyeX	ɻ˥˧	【音義】
辟	phjieH	pʰi˨˦	【音義】【集註】
如	nyo	ʒy˩	
登	tong	təŋ	
高	kaw	kaw	
必	pjit	piʔ(t)	
自	dzijH	dzɨ˨˦	
卑。	"bjieX/
pjie"	"bi'˨˦/
pi˧"	【音義】
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
妻	tshej	tsʰi	
子	tsiX	tsɨ˥˧	
好	xawH	haw˨˦	【音義】【集註】
合。	hop	ɦɔʔ(p)˩	
如	nyo	ʒy˩	
鼓	kuX	ku˥˧	
瑟	srit	ʂəʔ(t)	
琴。	gim	kʱim˩	
兄	xjwaeng	hyuəŋ	
弟	dejX	di'˨˦	
既	kj+jH	ki˨˦	
翕。	xip	hiʔ(p)	【音義】
和	hwaH	ɦwɔ˨˦	【音義】
樂	lak	lɒʔ(k)˩	【音義】【集註】
且	tshjaeX	tshiɛ˥˧	
耽。	tom	tam	【音義】【集註】
宜	ngje	(ŋ)i˩	
爾	nyeX	ɻ˥˧	
室	syit	ʃiʔ(t)	
家。	kae	kia	
樂	lak	lɒʔ(k)˩	【音義】【集註】
爾	nyeX	ɻ˥˧	
妻	tshej	tsʰi	
帑。	nu	nu˩	【音義】
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
父	bjuX	fʱu'˨˦	
母	muwX	məw˥˧	
其	gi	kʱi˩	
順	zywinH	ʃʱyun˨˦	
矣	hiX	ji˥˧	
乎。	hu	ɦu˩	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
鬼	kjw+jX	kui˥˧	
神	zyin	ʃʱin˩	
之	tsyi	tʃɨ	
爲	hjwe	ui˩	
德。	tok	təʔ(k)	
其	gi	kʱi˩	
盛	dzyengH	ʃʱiŋ˨˦	
矣	hiX	ji˥˧	
乎。	hu	ɦu˩	
視	dzyijX	ʃʱɨ'˨˦	
之	tsyi	tʃɨ	
而	nyi	ɻ˩	
弗	pjut	fuʔ(t)	
見。	kenH	kiɛn˨˦	
聽	"theng/
thengH"	"tʰiŋ˧/
thiŋ˨˦"	
之	tsyi	tʃɨ	
而	nyi	ɻ˩	
弗	pjut	fuʔ(t)	
聞。	mjun	vun˩	
體	thejX	tʰi˥˧	
物	mjut	vuʔ(t)˩	
而	nyi	ɻ˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
遺。	ywij	ji˩	
使	sriX	ʂɨ˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
人。	nyin	ʒin˩	
齊	tsreaj	tʂai	【音義】【集註】
明	mjaeng	miŋ˩	
盛	dzyengH	ʃʱiŋ˨˦	
服。	bjuwk	fʱuʔ(k)˩	
以	yiX	ji˥˧	
承	dzying	tʃʱiŋ˩	
祭	tsjejH	tsi˨˦	
祀。	ziX	sʱɨ'˨˦	
洋	yang	jiɑŋ˩	【音義】
洋	yang	jiɑŋ˩	【音義】
乎	hu	ɦu˩	
如	nyo	ʒy˩	
在	dzojX	dzai'˨˦	
其	gi	kʱi˩	
上。	dzyangH	ʃʱiɑŋ˨˦	
如	nyo	ʒy˩	
在	dzojX	dzai'˨˦	
其	gi	kʱi˩	
左	tsaX	tsɔ˥˧	
右。	hjuwX	jiw˥˧	
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
神	zyin	ʃʱin˩	
之	tsyi	tʃɨ	
格	kaek	kəʔ(k)	【音義】
思。	si	sɨ	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
度	dak	dɒʔ(k)˩	【音義】【集註】
思。	si	sɨ	
矧	syinX	ʃin˥˧	【音義】
可	khaX	kʰɔ˥˧	
射	yek	jiʔ(k)˩	【音義】【集註】
思。	si	sɨ	
夫	bju	fʱu˩	【集註】
微	mj+j	vi˩	
之	tsyi	tʃɨ	
顯。	xenX	hiɛn˥˧	
誠	dzyeng	tʃʱiŋ˩	
之	tsyi	tʃɨ	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
揜	’jemX	ʔiɛm˥˧	【音義】
如	nyo	ʒy˩	
此	tshjeX	tsʰɨ˥˧	
夫。	bju	fʱu˩	【音義】【集註】
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
舜	sywinH	ʃyun˨˦	
其	gi	kʱi˩	
大	dajH	dai˨˦	
孝	xaewH	hiaw˨˦	
也	yaeX	jiɛ˥˧	
與。	yo	jy˩	【音義】【集註】
德	tok	təʔ(k)	
爲	hjwe	ui˩	
聖	syengH	ʃiŋ˨˦	
人。	nyin	ʒin˩	
尊	tswon	tsun	
爲	hjwe	ui˩	
天	then	tʰiɛn	
子。	tsiX	tsɨ˥˧	
富	pjuwH	fəw˨˦	
有	hjuwX	jiw˥˧	
四	sijH	sɨ˨˦	
海	xojX	hai˥˧	
之	tsyi	tʃɨ	
内。	nwojH	nui˨˦	
宗	tsowng	tsuŋ	
廟	mjewH	miɛw˨˦	
饗	xjangX	hiɑŋ˥˧	
之。	tsyi	tʃɨ	
子	tsiX	tsɨ˥˧	
孫	swon	sun	
保	pawX	paw˥˧	
之。	tsyi	tʃɨ	
故	kuH	ku˨˦	
大	dajH	dai˨˦	
德	tok	təʔ(k)	
必	pjit	piʔ(t)	
得	tok	təʔ(k)	
其	gi	kʱi˩	
位。	hwijH	ui˨˦	
必	pjit	piʔ(t)	
得	tok	təʔ(k)	
其	gi	kʱi˩	
祿。	luwk	luʔ(k)˩	
必	pjit	piʔ(t)	
得	tok	təʔ(k)	
其	gi	kʱi˩	
名。	mjieng	miŋ˩	
必	pjit	piʔ(t)	
得	tok	təʔ(k)	
其	gi	kʱi˩	
壽。	"dzyuwX/
dzyuwH"	"ʃʱiw'˨˦/
ʃʱiw˨˦"	
故	kuH	ku˨˦	
天	then	tʰiɛn	
之	tsyi	tʃɨ	
生	sraeng	ʂəŋ	
物。	mjut	vuʔ(t)˩	
必	pjit	piʔ(t)	
因	’jin	ʔin	
其	gi	kʱi˩	
材	dzoj	tsʱai˩	
而	nyi	ɻ˩	
篤	towk	tuʔ(k)	
焉。	hjen	jiɛn˩	
故	kuH	ku˨˦	
栽	tsoj	tsai	【音義】
者	tsyaeX	tʃiɛ˥˧	
培	bwoj	pʱui˩	【音義】
之。	tsyi	tʃɨ	
傾	khjwieng	kʰyuəŋ	
者	tsyaeX	tʃiɛ˥˧	
覆	phjuwk	fuʔ(k)	【音義】
之。	tsyi	tʃɨ	
詩	syi	ʃɨ	
曰。	hjwot	jyuɛʔ(t)˩	
嘉	"haeH/
kae"	"ɦia˨˦/
kia˧"	【音義】【集註】
樂	lak	lɒʔ(k)˩	
君	kjun	kyun	
子。	tsiX	tsɨ˥˧	
憲	"xenX/
xjonH"	"hiɛn˥˧/
hiɛn˨˦"	【音義】【集註】
憲	"xenX/
xjonH"	"hiɛn˥˧/
hiɛn˨˦"	【音義】【集註】
令	ljengH	liŋ˨˦	
德。	tok	təʔ(k)	
宜	ngje	(ŋ)i˩	
民	mjin	min˩	
宜	ngje	(ŋ)i˩	
人。	nyin	ʒin˩	
受	dzyuwX	ʃʱiw'˨˦	
祿	luwk	luʔ(k)˩	
于	hju	jy˩	
天。	then	tʰiɛn	
保	pawX	paw˥˧	
佑	hjuwH	jiw˨˦	【音義】
命	mjaengH	miŋ˨˦	
之。	tsyi	tʃɨ	
自	dzijH	dzɨ˨˦	
天	then	tʰiɛn	
申	syin	ʃin	
之。	tsyi	tʃɨ	
故	kuH	ku˨˦	
大	dajH	dai˨˦	
德	tok	təʔ(k)	
者	tsyaeX	tʃiɛ˥˧	
必	pjit	piʔ(t)	
受	dzyuwX	ʃʱiw'˨˦	
命。	mjaengH	miŋ˨˦	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
無	mju	vu˩	
憂	’juw	ʔiw	
者。	tsyaeX	tʃiɛ˥˧	
其	gi	kʱi˩	
惟	ywij	vi˩	
文	mjun	vun˩	
王	hjwang	wɑŋ˩	
乎。	hu	ɦu˩	
以	yiX	ji˥˧	
王	hjwang	wɑŋ˩	
季	kjwijH	ki˨˦	
爲	hjwe	ui˩	
父。	bjuX	fʱu'˨˦	
以	yiX	ji˥˧	
武	mjuX	vu˥˧	
王	hjwang	wɑŋ˩	
爲	hjwe	ui˩	
子。	tsiX	tsɨ˥˧	
父	bjuX	fʱu'˨˦	
作	tsak	tsɒʔ(k)	
之。	tsyi	tʃɨ	
子	tsiX	tsɨ˥˧	
述	zywit	ʃʱyʔ(t)˩	
之。	tsyi	tʃɨ	
武	mjuX	vu˥˧	
王	hjwang	wɑŋ˩	
纘	tswanX	tswɔn˥˧	【音義】
大	thajH	tʰai˨˦	【音義】【集註】
王、	hjwang	wɑŋ˩	
王	hjwang	wɑŋ˩	
季、	kjwijH	ki˨˦	
文	mjun	vun˩	
王、	hjwang	wɑŋ˩	
之	tsyi	tʃɨ	
緒。	zjoX	sʱy'˨˦	
壹	’jit	ʔiʔ(t)	
戎	nyuwng	ʒyuŋ˩	
衣。	"’j+n/
’j+j"	"ʔin/
ʔi"	【音義】
而	nyi	ɻ˩	
有	hjuwX	jiw˥˧	
天	then	tʰiɛn	
下。	haeX	ɦia'˨˦	
身	syin	ʃin	
不	pjuw	puʔ(t)	
失	syit	ʃiʔ(t)	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
顯	xenX	hiɛn˥˧	
名。	mjieng	miŋ˩	
尊	tswon	tsun	
爲	hjwe	ui˩	
天	then	tʰiɛn	
子。	tsiX	tsɨ˥˧	
富	pjuwH	fəw˨˦	
有	hjuwX	jiw˥˧	
四	sijH	sɨ˨˦	
海	xojX	hai˥˧	
之	tsyi	tʃɨ	
内。	nwojH	nui˨˦	
宗	tsowng	tsuŋ	
廟	mjewH	miɛw˨˦	
饗	xjangX	hiɑŋ˥˧	
之。	tsyi	tʃɨ	
子	tsiX	tsɨ˥˧	
孫	swon	sun	
保	pawX	paw˥˧	
之。	tsyi	tʃɨ	
武	mjuX	vu˥˧	
王	hjwang	wɑŋ˩	
末	mat	mwɔʔ(t)˩	【音義】
受	dzyuwX	ʃʱiw'˨˦	
命。	mjaengH	miŋ˨˦	
周	tsyuw	tʃiw	
公	kuwng	kuŋ	
成	dzyeng	tʃʱiŋ˩	
文	mjun	vun˩	
武	mjuX	vu˥˧	
之	tsyi	tʃɨ	
德。	tok	təʔ(k)	
追	trwij	ʈʂui	
王	hjwangH	wɑŋ˨˦	【音義】【集註】
大	thajH	tʰai˨˦	【集註】
王、	hjwang	wɑŋ˩	
王	hjwang	wɑŋ˩	
季。	kjwijH	ki˨˦	
上	dzyangH	ʃʱiɑŋ˨˦	
祀	ziX	sʱɨ'˨˦	
先	sen	siɛn	
公	kuwng	kuŋ	
以	yiX	ji˥˧	
天	then	tʰiɛn	
子	tsiX	tsɨ˥˧	
之	tsyi	tʃɨ	
禮。	lejX	li˥˧	
斯	sje	sɨ	
禮	lejX	li˥˧	
也。	yaeX	jiɛ˥˧	
達	dat	daʔ(t)˩	
乎	hu	ɦu˩	
諸	tsyo	tʃy	
侯	huw	ɦəw˩	
大	dajH	dai˨˦	
夫。	pju	fu	
及	gip	giʔ(p)˩	
士	dzriX	ʂʱɨ'˨˦	
庶	syoH	ʃy˨˦	
人。	nyin	ʒin˩	
父	bjuX	fʱu'˨˦	
爲	hjwe	ui˩	
大	dajH	dai˨˦	
夫。	pju	fu	
子	tsiX	tsɨ˥˧	
爲	hjwe	ui˩	
士。	dzriX	ʂʱɨ'˨˦	
葬	tsangH	tsɑŋ˨˦	
以	yiX	ji˥˧	
大	dajH	dai˨˦	
夫。	pju	fu	
祭	tsjejH	tsi˨˦	
以	yiX	ji˥˧	
士。	dzriX	ʂʱɨ'˨˦	
父	bjuX	fʱu'˨˦	
爲	hjwe	ui˩	
士。	dzriX	ʂʱɨ'˨˦	
子	tsiX	tsɨ˥˧	
爲	hjwe	ui˩	
大	dajH	dai˨˦	
夫。	pju	fu	
葬	tsangH	tsɑŋ˨˦	
以	yiX	ji˥˧	
士。	dzriX	ʂʱɨ'˨˦	
祭	tsjejH	tsi˨˦	
以	yiX	ji˥˧	
大	dajH	dai˨˦	
夫。	pju	fu	
期	ki	ki	【音義】
之	tsyi	tʃɨ	
喪。	sang	sɑŋ	
達	dat	daʔ(t)˩	
乎	hu	ɦu˩	
大	dajH	dai˨˦	
夫。	pju	fu	
三	sam	sam	
年	nen	niɛn˩	
之	tsyi	tʃɨ	
喪。	sang	sɑŋ	
達	dat	daʔ(t)˩	
乎	hu	ɦu˩	
天	then	tʰiɛn	
子。	tsiX	tsɨ˥˧	
父	bjuX	fʱu'˨˦	
母	muwX	məw˥˧	
之	tsyi	tʃɨ	
喪。	sang	sɑŋ	
無	mju	vu˩	
貴	kjw+jH	kui˨˦	
賤	dzjenH	dziɛn˨˦	
一	’jit	ʔiʔ(t)	
也。	yaeX	jiɛ˥˧	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
武	mjuX	vu˥˧	
王	hjwang	wɑŋ˩	
周	tsyuw	tʃiw	
公。	kuwng	kuŋ	
其	gi	kʱi˩	
達	dat	daʔ(t)˩	
孝	xaewH	hiaw˨˦	
矣	hiX	ji˥˧	
乎。	hu	ɦu˩	
夫	bju	fʱu˩	
孝	xaewH	hiaw˨˦	
者。	tsyaeX	tʃiɛ˥˧	
善	dzyenX	ʃʱiɛn'˨˦	
繼	kejH	ki˨˦	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
志。	tsyiH	tʃɨ˨˦	
善	dzyenX	ʃʱiɛn'˨˦	
述	zywit	ʃʱyʔ(t)˩	
人	nyin	ʒin˩	
之	tsyi	tʃɨ	
事	dzriH	ʂʱɨ˨˦	
者	tsyaeX	tʃiɛ˥˧	
也。	yaeX	jiɛ˥˧	
春	tsyhwin	tʃʰyun	
秋。	tshjuw	tsʰiw	
脩	sjuw	siw	
其	gi	kʱi˩	
祖	tsuX	tsu˥˧	
廟。	mjewH	miɛw˨˦	
陳	drin	tʃʱin˩	
其	gi	kʱi˩	
宗	tsowng	tsuŋ	
器。	khijH	kʰi˨˦	
設	syet	ʃiɛʔ(t)	
其	gi	kʱi˩	
裳	dzyang	(t)ʃʱiɑŋ˩	
衣。	’j+j	ʔi	
薦	tsenH	tsiɛn˨˦	
其	gi	kʱi˩	
時	dzyi	ʃʱɨ˩	
食。	zyik	ʃʱiʔ(k)˩	
宗	tsowng	tsuŋ	
廟	mjewH	miɛw˨˦	
之	tsyi	tʃɨ	
禮。	lejX	li˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
序	zjoX	sʱy'˨˦	
昭	"dzyew/
tsyew"	"ʃʱiɛw˩/
tʃiɛw˧"	【音義】【集註】
穆	mjuwk	muʔ(k)˩	
也。	yaeX	jiɛ˥˧	
序	zjoX	sʱy'˨˦	
爵。	tsjak	tsiɒʔ(k)	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
辨	bjenX	biɛn'˨˦	
貴	kjw+jH	kui˨˦	
賤	dzjenH	dziɛn˨˦	
也。	yaeX	jiɛ˥˧	
序	zjoX	sʱy'˨˦	
事。	dzriH	ʂʱɨ˨˦	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
辨	bjenX	biɛn'˨˦	
賢	hen	ɦiɛn˩	
也。	yaeX	jiɛ˥˧	
旅	ljoX	ly˥˧	
酬	dzyuw	tʃʱiw˩	
下	haeX	ɦia'˨˦	
爲	hjweH	ui˨˦	【集註】
上。	dzyangH	ʃʱiɑŋ˨˦	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
達	dat	daʔ(t)˩	
賤	dzjenH	dziɛn˨˦	
也。	yaeX	jiɛ˥˧	
燕	’enH	ʔiɛn˨˦	【音義】
毛。	maw	maw˩	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
序	zjoX	sʱy'˨˦	
齒	tsyhiX	tʃʰɨ˥˧	
也。	yaeX	jiɛ˥˧	
踐	dzjenX	dziɛn'˨˦	
其	gi	kʱi˩	
位。	hwijH	ui˨˦	
行	haeng	ɦiŋ˩	
其	gi	kʱi˩	
禮。	lejX	li˥˧	
奏	tsuwH	tsəw˨˦	
其	gi	kʱi˩	
樂。	ngaewk	(ŋ)iɒʔ(k)˩	
敬	kjaengH	kiŋ˨˦	
其	gi	kʱi˩	
所	srjoX	ʂu˥˧	
尊。	tswon	tsun	
愛	’ojH	ʔai˨˦	
其	gi	kʱi˩	
所	srjoX	ʂu˥˧	
親。	tshin	tsʰin	
事	dzriH	ʂʱɨ˨˦	
死	sijX	sɨ˥˧	
如	nyo	ʒy˩	
事	dzriH	ʂʱɨ˨˦	
生。	sraeng	ʂəŋ	
事	dzriH	ʂʱɨ˨˦	
亡	mjang	vɑŋ˩	
如	nyo	ʒy˩	
事	dzriH	ʂʱɨ˨˦	
存。	dzwon	tsʱun˩	
孝	xaewH	hiaw˨˦	
之	tsyi	tʃɨ	
至	tsyijH	tʃɨ˨˦	
也。	yaeX	jiɛ˥˧	
郊	kaew	kiaw	
社	dzyaeX	ʃʱiɛ'˨˦	
之	tsyi	tʃɨ	
禮。	lejX	li˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
事	dzriH	ʂʱɨ˨˦	
上	dzyangH	ʃʱiɑŋ˨˦	
帝	tejH	ti˨˦	
也。	yaeX	jiɛ˥˧	
宗	tsowng	tsuŋ	
廟	mjewH	miɛw˨˦	
之	tsyi	tʃɨ	
禮。	lejX	li˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
祀	ziX	sʱɨ'˨˦	
乎	hu	ɦu˩	
其	gi	kʱi˩	
先	sen	siɛn	
也。	yaeX	jiɛ˥˧	
明	mjaeng	miŋ˩	
乎	hu	ɦu˩	
郊	kaew	kiaw	
社	dzyaeX	ʃʱiɛ'˨˦	
之	tsyi	tʃɨ	
禮。	lejX	li˥˧	
禘	dejH	di˨˦	
嘗	dzyang	(t)ʃʱiɑŋ˩	
之	tsyi	tʃɨ	
義。	ngjeH	(ŋ)i˨˦	
治	dri	tʃʱi˩	
國	kwok	kwəʔ(k)	
其	gi	kʱi˩	
如	nyo	ʒy˩	
示	"tsyeH/
dzyijH"	"tʃi˨˦/
ʃʱɨ˨˦"	【音義】【集註】
諸	tsyo	tʃy	
掌	tsyangX	tʃiɑŋ˥˧	
乎。	hu	ɦu˩	
哀	’oj	ʔai	
公	kuwng	kuŋ	
問	mjunH	vun˨˦	
政。	tsyengH	tʃiŋ˨˦	
子	tsiX	tsɨ˥˧	
曰。	hjwot	jyuɛʔ(t)˩	
文	mjun	vun˩	
武	mjuX	vu˥˧	
之	tsyi	tʃɨ	
政。	tsyengH	tʃiŋ˨˦	
布	puH	pu˨˦	
在	dzojX	dzai'˨˦	
方	pjang	fɑŋ	
策。	tsrheak	ʈʂʰəʔ(k)	【音義】
其	gi	kʱi˩	
人	nyin	ʒin˩	
存。	dzwon	tsʱun˩	
則	tsok	tsəʔ(k)	
其	gi	kʱi˩	
政	tsyengH	tʃiŋ˨˦	
舉。	kjoX	ky˥˧	
其	gi	kʱi˩	
人	nyin	ʒin˩	
亡。	mjang	vɑŋ˩	
則	tsok	tsəʔ(k)	
其	gi	kʱi˩	
政	tsyengH	tʃiŋ˨˦	
息。	sik	siʔ(k)	
人	nyin	ʒin˩	
道	dawX	daw'˨˦	
敏	minX	min˥˧	
政。	tsyengH	tʃiŋ˨˦	
地	dijH	di˨˦	
道	dawX	daw'˨˦	
敏	minX	min˥˧	
樹。	dzyuX	ʃʱy'˨˦	
夫	bju	fʱu˩	【集註】
政	tsyengH	tʃiŋ˨˦	
也	yaeX	jiɛ˥˧	
者。	tsyaeX	tʃiɛ˥˧	
蒲	bu	pʱu˩	【音義】
盧	lu	lu˩	【音義】
也。	yaeX	jiɛ˥˧	
故	kuH	ku˨˦	
爲	hjwe	ui˩	
政	tsyengH	tʃiŋ˨˦	
在	dzojX	dzai'˨˦	
人。	nyin	ʒin˩	
取	tshjuX	tsʰy˥˧	
人	nyin	ʒin˩	
以	yiX	ji˥˧	
身。	syin	ʃin	
脩	sjuw	siw	
身	syin	ʃin	
以	yiX	ji˥˧	
道。	dawX	daw'˨˦	
脩	sjuw	siw	
道	dawX	daw'˨˦	
以	yiX	ji˥˧	
仁。	nyin	ʒin˩	
仁	nyin	ʒin˩	
者	tsyaeX	tʃiɛ˥˧	
人	nyin	ʒin˩	
也。	yaeX	jiɛ˥˧	
親	tshin	tsʰin	
親	tshin	tsʰin	
爲	hjwe	ui˩	
大。	dajH	dai˨˦	
義	ngjeH	(ŋ)i˨˦	
者	tsyaeX	tʃiɛ˥˧	
宜	ngje	(ŋ)i˩	
也。	yaeX	jiɛ˥˧	
尊	tswon	tsun	
賢	hen	ɦiɛn˩	
爲	hjwe	ui˩	
大。	dajH	dai˨˦	
親	tshin	tsʰin	
親	tshin	tsʰin	
之	tsyi	tʃɨ	
殺。	sreajH	ʂai˨˦	【音義】【集註】
尊	tswon	tsun	
賢	hen	ɦiɛn˩	
之	tsyi	tʃɨ	
等。	tongX	təŋ˥˧	
禮	lejX	li˥˧	
所	srjoX	ʂu˥˧	
生	sraeng	ʂəŋ	
也。	yaeX	jiɛ˥˧	
在	dzojX	dzai'˨˦	
下	haeX	ɦia'˨˦	
位	hwijH	ui˨˦	
不	pjuw	puʔ(t)	
獲	hweak	ɦwəʔ(k)˩	
乎	hu	ɦu˩	
上。	dzyangH	ʃʱiɑŋ˨˦	
民	mjin	min˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
得	tok	təʔ(k)	
而	nyi	ɻ˩	
治	"driH/
dri"	"dʒi˨˦/
tʃʱi˩"	【音義】
矣。	hiX	ji˥˧	
故	kuH	ku˨˦	
君	kjun	kyun	
子	tsiX	tsɨ˥˧	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
不	pjuw	puʔ(t)	
脩	sjuw	siw	
身。	syin	ʃin	
思	si	sɨ	
脩	sjuw	siw	
身。	syin	ʃin	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
不	pjuw	puʔ(t)	
事	dzriH	ʂʱɨ˨˦	
親。	tshin	tsʰin	
思	si	sɨ	
事	dzriH	ʂʱɨ˨˦	
親。	tshin	tsʰin	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
不	pjuw	puʔ(t)	
知	trje	tʃi	
人。	nyin	ʒin˩	
思	si	sɨ	
知	trje	tʃi	
人。	nyin	ʒin˩	
不	pjuw	puʔ(t)	
可	khaX	kʰɔ˥˧	
以	yiX	ji˥˧	
不	pjuw	puʔ(t)	
知	trje	tʃi	
天。	then	tʰiɛn	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
達	dat	daʔ(t)˩	
道	dawX	daw'˨˦	
五。	nguX	(ŋ)u˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
行	haeng	ɦiŋ˩	
之	tsyi	tʃɨ	
者	tsyaeX	tʃiɛ˥˧	
三。	sam	sam	
曰。	hjwot	jyuɛʔ(t)˩	
君	kjun	kyun	
臣	dzyin	tʃʱin˩	
也。	yaeX	jiɛ˥˧	
父	bjuX	fʱu'˨˦	
子	tsiX	tsɨ˥˧	
也。	yaeX	jiɛ˥˧	
夫	pju	fu	
婦	bjuwX	fʱəw'˨˦	
也。	yaeX	jiɛ˥˧	
昆	kwon	kun	
弟	dejX	di'˨˦	
也。	yaeX	jiɛ˥˧	
朋	bong	pʱəŋ˩	
友	hjuwX	jiw˥˧	
之	tsyi	tʃɨ	
交	kaew	kiaw	
也。	yaeX	jiɛ˥˧	
五	nguX	(ŋ)u˥˧	
者。	tsyaeX	tʃiɛ˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
達	dat	daʔ(t)˩	
道	dawX	daw'˨˦	
也。	yaeX	jiɛ˥˧	
知。	trjeH	tʃi˨˦	【音義】【集註】
仁。	nyin	ʒin˩	
勇。	yowngX	jyuŋ˥˧	
三	sam	sam	
者。	tsyaeX	tʃiɛ˥˧	
天	then	tʰiɛn	
下	haeX	ɦia'˨˦	
之	tsyi	tʃɨ	
達	dat	daʔ(t)˩	
德	tok	təʔ(k)	
也。	yaeX	jiɛ˥˧	
所	srjoX	ʂu˥˧	
以	yiX	ji˥˧	
行	haeng	ɦiŋ˩	
之	tsyi	tʃɨ	
者	tsyaeX	tʃiɛ˥˧	
一	’jit	ʔiʔ(t)	
也。	yaeX	jiɛ˥˧	
或	hwok	ɦwəʔ(k)˩	
生	sraeng	ʂəŋ	
而	nyi	ɻ˩	
知	trje	tʃi	
之。	tsyi	tʃɨ	
或	hwok	ɦwəʔ(k)˩	
學	haewk	ɦiɒʔ(k)˩	
而	nyi	ɻ˩	
知	trje	tʃi	
之。	tsyi	tʃɨ	
或	hwok	ɦwəʔ(k)˩	
困	khwonH	kʰun˨˦	
而	nyi	ɻ˩	
知	trje	tʃi	
之。	tsyi	tʃɨ	
及	gip	giʔ(p)˩	
其	gi	kʱi˩	
知	trje	tʃi	
之	tsyi	tʃɨ	
一	’jit	ʔiʔ(t)	
也。	yaeX	jiɛ˥˧	
或	hwok	ɦwəʔ(k)˩	
安	’an	ʔɑn	
而	nyi	ɻ˩	
