#《禮記·大學》中古音及中州音
# 多音字及通假字擇音遵《禮記正義》及《四書章句集註》
# version: 20190514
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
char	middle_chinese	mandarin
一	'jit	ʔiʔ(t)
國	kwok	kwəʔ(k)
作	tsak	tsɒʔ(k)
亂。	lwanH	lwɔn˨˦
其	gi	kʰi˩
機	kj+j	ki
如	nyo	ʒy˩
此。	tshjeX	tsʰɨ˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
一	'jit	ʔiʔ(t)
言	ngjon	jiɛn˩
僨	pjunH	fun˨˦
事。	dzriH	ʂʱɨ˨˦
一	'jit	ʔiʔ(t)
人	nyin	ʒin˩
定	dengH	diŋ˨˦
國。	kwok	kwəʔ(k)
堯	ngew	jiɛw˩
舜	sywinH	ʃyun˨˦
率	srwijH	ʂui˨˦
天	then	tʰiɛn
下	haeX	ɦia'˨˦
以	yiX	ji˥˧
仁。	nyin	ʒin˩
而	nyi	ɻ˩
民	mjin	min˩
從	dzjowng	tsʰyuŋ˩
之。	tsyi	tʃɨ
桀	gjet	giɛʔ(t)˩
紂	drjuwX	dʒiow'˨˦
率	srwijH	ʂui˨˦
天	then	tʰiɛn
下	haeX	ɦia'˨˦
以	yiX	ji˥˧
暴。	bawH	baw˨˦
而	nyi	ɻ˩
民	mjin	min˩
從	dzjowng	tsʰyuŋ˩
之。	tsyi	tʃɨ
其	gi	kʰi˩
所	srjoX	ʂu˥˧
令	ljengH	liŋ˨˦
反	pjonX	fan˥˧
其	gi	kʰi˩
所	srjoX	ʂu˥˧
好。	xawH	haw˨˦
而	nyi	ɻ˩
民	mjin	min˩
不	pjut	puʔ(t)
從。	dzjowng	tsʰyuŋ˩
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
有	hjuwX	jiow˥˧
諸	tsyo	tʃy
己。	kiX	ki˥˧
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
求	gjuw	kʰiow˩
諸	tsyo	tʃy
人。	nyin	ʒin˩
無	mju	vu˩
諸	tsyo	tʃy
己。	kiX	ki˥˧
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
非	pj+j	fi
諸	tsyo	tʃy
人。	nyin	ʒin˩
所	srjoX	ʂu˥˧
藏	dzang	tsʰɑŋ˩
乎	hu	ɦu˩
身	syin	ʃin
不	pjuw	puʔ(t)
恕。	syoH	ʃy˨˦
而	nyi	ɻ˩
能	nong	nəŋ˩
喻	yuH	ʔy˨˦
諸	tsyo	tʃy
人	nyin	ʒin˩
者。	tsyaeX	tʃiɛ˥˧
未	mj+jH	vi˨˦
之	tsyi	tʃɨ
有	hjuwX	jiow˥˧
也。	yaeX	jiɛ˥˧
故	kuH	ku˨˦
治	dri/driH	tʃʰi˩/dʒi˨˦
國	kwok	kwəʔ(k)
在	dzojX	dzai'˨˦
齊	dzej	tsʰi˩
其	gi	kʰi˩
家。	kae	kia
詩	syi	ʃɨ
云。	hjun	yun˩
桃	daw	tʰaw˩
之	tsyi	tʃɨ
夭	'jew	ʔiɛw
夭。	'jew	ʔiɛw
其	gi	kʰi˩
葉	yep	jiɛʔ(p)˩
蓁	tsrin	tʂən
蓁。	tsrin	tʂən
之	tsyi	tʃɨ
子	tsiX	tsɨ˥˧
于	hju	jy˩
歸。	kjw+j	kui
宜	ngje	ji˩
其	gi	kʰi˩
家	kae	kia
人。	nyin	ʒin˩
宜	ngje	ji˩
其	gi	kʰi˩
家	kae	kia
人。	nyin	ʒin˩
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
可	khaX	kʰɔ˥˧
以	yiX	ji˥˧
教	kaew	kiaw
國	kwok	kwəʔ(k)
人。	nyin	ʒin˩
詩	syi	ʃɨ
云。	hjun	yun˩
宜	ngje	ji˩
兄	xjwaeng	hyuəŋ
宜	ngje	ji˩
弟。	dejX	di'˨˦
宜	ngje	ji˩
兄	xjwaeng	hyuəŋ
宜	ngje	ji˩
弟。	dejX	di'˨˦
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
可	khaX	kʰɔ˥˧
以	yiX	ji˥˧
教	kaew	kiaw
國	kwok	kwəʔ(k)
人。	nyin	ʒin˩
詩	syi	ʃɨ
云。	hjun	yun˩
其	gi	kʰi˩
儀	ngje	ji˩
不	pjuw	puʔ(t)
忒。	thok	tʰəʔ(k)
正	tsyengH	tʃiŋ˨˦
是	dzyeX	ʃʱi'˨˦
四	sijH	sɨ˨˦
國。	kwok	kwəʔ(k)
其	gi	kʰi˩
爲	hjwe	ui˩
父	bjuX	fʱu'˨˦
子	tsiX	tsɨ˥˧
兄	xjwaeng	hyuəŋ
弟	dejX	di'˨˦
足	tsjowk	tsyuʔ(k)
法。	pjop	faʔ(p)
而	nyi	ɻ˩
後	huwX	ɦow'˨˦
民	mjin	min˩
法	pjop	faʔ(p)
之	tsyi	tʃɨ
也。	yaeX	jiɛ˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
治	dri/driH	tʃʰi˩/dʒi˨˦
國	kwok	kwəʔ(k)
在	dzojX	dzai'˨˦
齊	dzej	tsʰi˩
其	gi	kʰi˩
家。	kae	kia
所	srjoX	ʂu˥˧
謂	hjw+jH	ui˨˦
平	bjaeng	pʰiŋ˩
天	then	tʰiɛn
下	haeX	ɦia'˨˦
在	dzojX	dzai'˨˦
治	dri/driH	tʃʰi˩/dʒi˨˦
其	gi	kʰi˩
國	kwok	kwəʔ(k)
者。	tsyaeX	tʃiɛ˥˧
上	dzyangH	ʃʱiɑŋ˨˦
老	lawX	law˥˧
老	lawX	law˥˧
而	nyi	ɻ˩
民	mjin	min˩
興	xing	hiŋ
孝。	xaewH	hiaw˨˦
上	dzyangH	ʃʱiɑŋ˨˦
長	trjangX	tʃiɑŋ˥˧
長	trjangX	tʃiɑŋ˥˧
而	nyi	ɻ˩
民	mjin	min˩
興	xing	hiŋ
弟。	dejH	di˨˦
上	dzyangH	ʃʱiɑŋ˨˦
恤	swit	syʔ(t)
孤	ku	ku
而	nyi	ɻ˩
民	mjin	min˩
不	pjut	puʔ(t)
倍。	bwojH	bui˨˦
是	dzyeX	ʃʱi'˨˦
以	yiX	ji˥˧
君	kjun	kyun
子	tsiX	tsɨ˥˧
有	hjuwX	jiow˥˧
絜	ket/het	kiɛt/ɦiɛʔ(t)˩
矩	kjuX	ky˥˧
之	tsyi	tʃɨ
道	dawX	daw'˨˦
也。	yaeX	jiɛ˥˧
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
上。	dzyangH	ʃʱiɑŋ˨˦
毋	mju	vu˩
以	yiX	ji˥˧
使	sriX	ʂɨ˥˧
下。	haeX	ɦia'˨˦
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
下。	haeX	ɦia'˨˦
毋	mju	vu˩
以	yiX	ji˥˧
事	dzriH	ʂʱɨ˨˦
上。	dzyangH	ʃʱiɑŋ˨˦
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
前。	dzen	tsʰiɛn˩
毋	mju	vu˩
以	yiX	ji˥˧
先	senH	siɛn˨˦
後。	huwX	ɦow'˨˦
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
後。	huwX	ɦow'˨˦
毋	mju	vu˩
以	yiX	ji˥˧
從	dzjowng	tsʰyuŋ˩
前。	dzen	tsʰiɛn˩
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
右。	hjuwX	jiow˨˦
毋	mju	vu˩
以	yiX	ji˥˧
交	kaew	kiaw
于	hju	jy˩
左。	tsaX	tsɔ˥˧
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
于	hju	jy˩
左。	tsaX	tsɔ˥˧
毋	mju	vu˩
以	yiX	ji˥˧
交	kaew	kiaw
于	hju	jy˩
右。	hjuwX	jiow˨˦
此	tshjeX	tsʰɨ˥˧
之	tsyi	tʃɨ
謂	hjw+jH	ui˨˦
絜	ket/het	kiɛt/ɦiɛʔ(t)˩
矩	kjuX	ky˥˧
之	tsyi	tʃɨ
道。	dawX	daw'˨˦
詩	syi	ʃɨ
云。	hjun	yun˩
樂	lak	lɒʔ(k)˩
只	tsyeX	tʃɨ˥˧
君	kjun	kyun
子。	tsiX	tsɨ˥˧
民	mjin	min˩
之	tsyi	tʃɨ
父	bjuX	fʱu'˨˦
母。	muwX	mow˥˧
民	mjin	min˩
之	tsyi	tʃɨ
所	srjoX	ʂu˥˧
好	xawH	haw˨˦
好	xawH	haw˨˦
之。	tsyi	tʃɨ
民	mjin	min˩
之	tsyi	tʃɨ
所	srjoX	ʂu˥˧
惡	uH	ʔu˨˦
惡	uH	ʔu˨˦
之。	tsyi	tʃɨ
此	tshjeX	tsʰɨ˥˧
之	tsyi	tʃɨ
謂	hjw+jH	ui˨˦
民	mjin	min˩
之	tsyi	tʃɨ
父	bjuX	fʱu'˨˦
母。	muwX	mow˥˧
詩	syi	ʃɨ
云。	hjun	yun˩
節	tset/dzet	tsiɛt/dziɛʔ(t)˩
彼	pjeX	pi˥˧
南	nom	nam˩
山。	srean	ʂan
維	ywij	vi˩
石	dzyek	ʃʱiʔ(k)˩
巖	ngaem	jiam˩
巖。	ngaem	jiam˩
赫	xaek	həʔ(k)
赫	xaek	həʔ(k)
師	srij	ʂɨ
尹。	ywinX	jin˥˧
民	mjin	min˩
具	kju	ky
爾	nyeX	ɻ˥˧
瞻。	tsyem	tʃiɛm
有	hjuwX	jiow˥˧
國	kwok	kwəʔ(k)
者	tsyaeX	tʃiɛ˥˧
不	pjuw	puʔ(t)
可	khaX	kʰɔ˥˧
以	yiX	ji˥˧
不	pjuw	puʔ(t)
慎。	dzyinH	ʃʱin˨˦
辟	phjiek	pʰiʔ(k)
則	tsok	tsəʔ(k)
爲	hjwe	ui˩
天	then	tʰiɛn
下	haeX	ɦia'˨˦
戮	ljuwk	luʔ(k)˩
矣。	hiX	ji˥˧
詩	syi	ʃɨ
云。	hjun	yun˩
殷	'j+n	ʔin
之	tsyi	tʃɨ
未	mj+jH	vi˨˦
喪	sangH	sɑŋ˨˦
師。	srij	ʂɨ
克	khok	kʰəʔ(k)
配	phwojH	pʰui˨˦
上	dzyangH	ʃʱiɑŋ˨˦
帝。	tejH	ti˨˦
儀	ngje	ji˩
監	kaemH	kiam˨˦
于	hju	jy˩
殷。	'j+n	ʔin
峻	swinH	syun˨˦
命	mjaengH	miŋ˨˦
不	pjuw	puʔ(t)
易。	yeH	ji˨˦
道	dawX	daw'˨˦
得	tok	təʔ(k)
眾	tsyuwngH	tʃyuŋ˨˦
則	tsok	tsəʔ(k)
得	tok	təʔ(k)
國。	kwok	kwəʔ(k)
失	syit	ʃiʔ(t)
眾	tsyuwngH	tʃyuŋ˨˦
則	tsok	tsəʔ(k)
失	syit	ʃiʔ(t)
國。	kwok	kwəʔ(k)
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
先	sen	siɛn
慎	dzyinH	ʃʱin˨˦
乎	hu	ɦu˩
德。	tok	təʔ(k)
有	hjuwX	jiow˥˧
德	tok	təʔ(k)
此	tshjeX	tsʰɨ˥˧
有	hjuwX	jiow˥˧
人。	nyin	ʒin˩
有	hjuwX	jiow˥˧
人	nyin	ʒin˩
此	tshjeX	tsʰɨ˥˧
有	hjuwX	jiow˥˧
土。	thuX	tʰu˥˧
有	hjuwX	jiow˥˧
土	thuX	tʰu˥˧
此	tshjeX	tsʰɨ˥˧
有	hjuwX	jiow˥˧
財。	dzoj	tsʰai˩
有	hjuwX	jiow˥˧
財	dzoj	tsʰai˩
此	tshjeX	tsʰɨ˥˧
有	hjuwX	jiow˥˧
用。	yowngH	jyuŋ˨˦
德	tok	təʔ(k)
者	tsyaeX	tʃiɛ˥˧
本	pwonX	pun˥˧
也。	yaeX	jiɛ˥˧
財	dzoj	tsʰai˩
者	tsyaeX	tʃiɛ˥˧
末	mat	mwɔʔ(t)˩
也。	yaeX	jiɛ˥˧
外	ngwajH	ŋwai˨˦
本	pwonX	pun˥˧
內	nwojH	nui˨˦
末。	mat	mwɔʔ(t)˩
爭	tsreang	tʂəŋ
民	mjin	min˩
施	sye	ʃɨ
奪。	dwat	dwɔʔ(t)˩
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
財	dzoj	tsʰai˩
聚	dzjuX	dzy'˨˦
則	tsok	tsəʔ(k)
民	mjin	min˩
散。	sanX	san˥˧
財	dzoj	tsʰai˩
散	sanX	san˥˧
則	tsok	tsəʔ(k)
民	mjin	min˩
聚。	dzjuX	dzy'˨˦
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
言	ngjon	jiɛn˩
悖	bwot/bwojH	but˩/bui˨˦
而	nyi	ɻ˩
出	tsyhwit	tʃʰyʔ(t)
者。	tsyaeX	tʃiɛ˥˧
亦	yek	jiʔ(k)˩
悖	bwot/-jH	but˩/bui˨˦
而	nyi	ɻ˩
入。	nyip	ʒiʔ(p)˩
貨	xwaH	hwɔ˨˦
悖	bwot/-jH	but˩/bui˨˦
而	nyi	ɻ˩
入	nyip	ʒiʔ(p)˩
者。	tsyaeX	tʃiɛ˥˧
亦	yek	jiʔ(k)˩
悖	bwot/-jH	but˩/bui˨˦
而	nyi	ɻ˩
出。	tsyhwit	tʃʰyʔ(t)
康	khang	kʰɑŋ
誥	kawH	kaw˨˦
曰。	hjwot	yuɛʔ(t)˩
惟	ywij	vi˩
命	mjaengH	miŋ˨˦
不	pjuw	puʔ(t)
于	hju	jy˩
常。	dzyang	ʃʱiɑŋ˩
道	dawX	daw'˨˦
善	dzyenX	ʃʱiɛn'˨˦
則	tsok	tsəʔ(k)
得	tok	təʔ(k)
之。	tsyi	tʃɨ
不	pjuw	puʔ(t)
善	dzyenX	ʃʱiɛn'˨˦
則	tsok	tsəʔ(k)
失	syit	ʃiʔ(t)
之	tsyi	tʃɨ
矣。	hiX	ji˥˧
楚	tsrhjoX	tʂʰu˥˧
書	syo	ʃy
曰。	hjwot	yuɛʔ(t)˩
楚	tsrhjoX	tʂʰu˥˧
國	kwok	kwəʔ(k)
無	mju	vu˩
以	yiX	ji˥˧
爲	hjwe	ui˩
寶。	pawX	paw˥˧
惟	ywij	vi˩
善	dzyenX	ʃʱiɛn'˨˦
以	yiX	ji˥˧
爲	hjwe	ui˩
寶。	pawX	paw˥˧
舅	gjuwX	giow'˨˦
犯	bjomX	fʱam'˨˦
曰。	hjwot	yuɛʔ(t)˩
亡	mjang	vɑŋ˩
人	nyin	ʒin˩
無	mju	vu˩
以	yiX	ji˥˧
爲	hjwe	ui˩
寶。	pawX	paw˥˧
仁	nyin	ʒin˩
親	tshin	tsʰin
以	yiX	ji˥˧
爲	hjwe	ui˩
寶。	pawX	paw˥˧
秦	dzin	tsʰin˩
誓	dzyejH	ʃʱiei˨˦
曰。	hjwot	yuɛʔ(t)˩
若	nyak	ʒiɒʔ(k)˩
有	hjuwX	jiow˥˧
一	jit	ʔiʔ(t)
介	keajH/kaH	kiai˨˦/kɔ˨˦
臣。	dzyin	tʃʰin˩
斷	twanH	twɔn˨˦
斷	twanH	twɔn˨˦
兮	hej	ɦiei˩
無	mju	vu˩
他	tha	tʰɔ
技。	gjeX	gi'˨˦
其	gi	kʰi˩
心	sim	sim
休	xjuw	hiow
休	xjuw	hiow
焉。	hjen	jiɛn˩
其	gi	kʰi˩
如	nyo	ʒy˩
有	hjuwX	jiow˥˧
容	yowng	jyuŋ˩
焉。	hjen	jiɛn˩
人	nyin	ʒin˩
之	tsyi	tʃɨ
有	hjuwX	jiow˥˧
技。	gjeX	gi'˨˦
若	nyak	ʒiɒʔ(k)˩
己	kiX	ki˥˧
有	hjuwX	jiow˥˧
之。	tsyi	tʃɨ
人	nyin	ʒin˩
之	tsyi	tʃɨ
彥	ngjenH	ŋiɛn˨˦
聖。	syengH	ʃiŋ˨˦
其	gi	kʰi˩
心	sim	sim
好	xawH	haw˨˦
之。	tsyi	tʃɨ
不	pjuw	puʔ(t)
啻	syeH	ʃi˨˦
若	nyak	ʒiɒʔ(k)˩
自	dzijH	dzɨ˨˦
其	gi	kʰi˩
口	khuwX	kʰow˥˧
出。	tsyhwit	tʃʰyʔ(t)
實	zyit	ʃʱiʔ(t)˩
能	nong	nəŋ˩
容	yowng	jyuŋ˩
之。	tsyi	tʃɨ
以	yiX	ji˥˧
能	nong	nəŋ˩
保	pawX	paw˥˧
我	ngaX	ŋɔ˥˧
子	tsiX	tsɨ˥˧
孫	swon	sun
黎	lej	liei˩
民。	mjin	min˩
尚	dzyangH	ʃʱiɑŋ˨˦
亦	yek	jiʔ(k)˩
有	hjuwX	jiow˥˧
利	lijH	li˨˦
哉。	tsoj	tsai
人	nyin	ʒin˩
之	tsyi	tʃɨ
有	hjuwX	jiow˥˧
技。	gjeX	gi'˨˦
媢	mawH	maw˨˦
嫉	dzit	dziʔ(t)˩
以	yiX	ji˥˧
惡	uH	ʔu˨˦
之。	tsyi	tʃɨ
人	nyin	ʒin˩
之	tsyi	tʃɨ
彥	ngjenH	ŋiɛn˨˦
聖	syengH	ʃiŋ˨˦
而	nyi	ɻ˩
違	hjw+j	ui˩
之。	tsyi	tʃɨ
俾	pjieX	pi˥˧
不	pjuw	puʔ(t)
通。	thuwng	tʰuŋ
實	zyit	ʃʱiʔ(t)˩
不	pjut	puʔ(t)
能	nong	nəŋ˩
容。	yowng	jyuŋ˩
以	yiX	ji˥˧
不	pjuw	puʔ(t)
能	nong	nəŋ˩
保	pawX	paw˥˧
我	ngaX	ŋɔ˥˧
子	tsiX	tsɨ˥˧
孫	swon	sun
黎	lej	liei˩
民。	mjin	min˩
亦	yek	jiʔ(k)˩
曰	hjwot	yuɛʔ(t)˩
殆	dojX	dai'˨˦
哉。	tsoj	tsai
唯	ywij	vi˩
仁	nyin	ʒin˩
人	nyin	ʒin˩
放	pjangH	fɑŋ˨˦
流	ljuw	liow˩
之。	tsyi	tʃɨ
迸	peangH	pəŋ˨˦
諸	tsyo	tʃy
四	sijH	sɨ˨˦
夷。	yij	ji˩
不	pjut	puʔ(t)
與	yoX	ʔy˥˧
同	duwng	tʰuŋ˩
中	trjuwng	tʃyuŋ
國。	kwok	kwəʔ(k)
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
唯	ywij	vi˩
仁	nyin	ʒin˩
人	nyin	ʒin˩
爲	hjwe	ui˩
能	nong	nəŋ˩
愛	ojH	ʔai˨˦
人。	nyin	ʒin˩
能	nong	nəŋ˩
惡	uH	ʔu˨˦
人。	nyin	ʒin˩
見	kenH	kiɛn˨˦
賢	hen	ɦiɛn˩
而	nyi	ɻ˩
不	pjut	puʔ(t)
能	nong	nəŋ˩
舉。	kjoX	ky˥˧
舉	kjoX	ky˥˧
而	nyi	ɻ˩
不	pjut	puʔ(t)
能	nong	nəŋ˩
先。	senH	siɛn˨˦
命	maenH	man˨˦
也。	yaeX	jiɛ˥˧
見	kenH	kiɛn˨˦
不	pjuw	puʔ(t)
善	dzyenX	ʃʱiɛn'˨˦
而	nyi	ɻ˩
不	pjut	puʔ(t)
能	nong	nəŋ˩
退。	thwojH	tʰui˨˦
退	thwojH	tʰui˨˦
而	nyi	ɻ˩
不	pjut	puʔ(t)
能	nong	nəŋ˩
遠。	hjwonH	yuɛn˨˦
過	kwaH	kwɔ˨˦
也。	yaeX	jiɛ˥˧
好	xawH	haw˨˦
人	nyin	ʒin˩
之	tsyi	tʃɨ
所	srjoX	ʂu˥˧
惡。	uH	ʔu˨˦
惡	uH	ʔu˨˦
人	nyin	ʒin˩
之	tsyi	tʃɨ
所	srjoX	ʂu˥˧
好。	xawH	haw˨˦
是	dzyeX	ʃʱi'˨˦
謂	hjw+jH	ui˨˦
拂	bjut	fʱuʔ(t)˩
人	nyin	ʒin˩
之	tsyi	tʃɨ
性。	sjengH	siŋ˨˦
菑	tsoj	tsai
必	pjit	piʔ(t)
逮	dojH	dai˨˦
夫	bju	fʱu˩
身。	syin	ʃin
是	dzyeX	ʃʱi'˨˦
故	kuH	ku˨˦
君	kjun	kyun
子	tsiX	tsɨ˥˧
有	hjuwX	jiow˥˧
大	dajH	dai˨˦
道。	dawX	daw'˨˦
必	pjit	piʔ(t)
忠	trjuwng	tʃyuŋ
信	sinH	sin˨˦
以	yiX	ji˥˧
得	tok	təʔ(k)
之。	tsyi	tʃɨ
驕	kjew	kiɛw
泰	thajH	tʰai˨˦
以	yiX	ji˥˧
失	syit	ʃiʔ(t)
之。	tsyi	tʃɨ
生	sraeng	ʂəŋ
財	dzoj	tsʰai˩
有	hjuwX	jiow˥˧
大	dajH	dai˨˦
道。	dawX	daw'˨˦
生	sraeng	ʂəŋ
之	tsyi	tʃɨ
者	tsyaeX	tʃiɛ˥˧
眾。	tsyuwngH	tʃyuŋ˨˦
食	zyik	ʃʱiʔ(k)˩
之	tsyi	tʃɨ
者	tsyaeX	tʃiɛ˥˧
寡。	kwaeX	kwa˥˧
爲	hjwe	ui˩
之	tsyi	tʃɨ
者	tsyaeX	tʃiɛ˥˧
疾。	dzit	dziʔ(t)˩
用	yowngH	jyuŋ˨˦
之	tsyi	tʃɨ
者	tsyaeX	tʃiɛ˥˧
舒。	syo	ʃy
則	tsok	tsəʔ(k)
財	dzoj	tsʰai˩
恆	hong	ɦiəŋ˩
足	tsjowk	tsyuʔ(k)
矣。	hiX	ji˥˧
仁	nyin	ʒin˩
者	tsyaeX	tʃiɛ˥˧
以	yiX	ji˥˧
財	dzoj	tsʰai˩
發	pjot	faʔ(t)
身。	syin	ʃin
不	pjuw	puʔ(t)
仁	nyin	ʒin˩
者	tsyaeX	tʃiɛ˥˧
以	yiX	ji˥˧
身	syin	ʃin
發	pjot	faʔ(t)
財。	dzoj	tsʰai˩
未	mj+jH	vi˨˦
有	hjuwX	jiow˥˧
上	dzyangH	ʃʱiɑŋ˨˦
好	xawH	haw˨˦
仁。	nyin	ʒin˩
而	nyi	ɻ˩
下	haeX	ɦia'˨˦
不	pjuw	puʔ(t)
好	xawH	haw˨˦
義	ngjeH	ji˨˦
者	tsyaeX	tʃiɛ˥˧
也。	yaeX	jiɛ˥˧
未	mj+jH	vi˨˦
有	hjuwX	jiow˥˧
好	xawH	haw˨˦
義。	ngjeH	ji˨˦
其	gi	kʰi˩
事	dzriH	ʂʱɨ˨˦
不	pjuw	puʔ(t)
終	tsyuwng	tʃyuŋ
者	tsyaeX	tʃiɛ˥˧
也。	yaeX	jiɛ˥˧
未	mj+jH	vi˨˦
有	hjuwX	jiow˥˧
府	pjuX	fu˥˧
庫	khuH	kʰu˨˦
財。	dzoj	tsʰai˩
非	pj+j	fi
其	gi	kʰi˩
財	dzoj	tsʰai˩
者	tsyaeX	tʃiɛ˥˧
也。	yaeX	jiɛ˥˧
孟	maengH	məŋ˨˦
獻	xjonH	hiɛn˨˦
子	tsiX	tsɨ˥˧
曰。	hjwot	yuɛʔ(t)˩
畜	xjuwk	hyuʔ(k)
馬	maeX	ma˥˧
乘。	zyingH	ʃʱiŋ˨˦
不	pjuw	puʔ(t)
察	tsrheat	tʂʰaʔ(t)
于	hju	jy˩
雞	kej	ki
豚。	dwon	tʰun˩
伐	bjot	fʱaʔ(t)˩
冰	ping	piŋ
之	tsyi	tʃɨ
家。	kae	kia
不	pjuw	puʔ(t)
畜	xjuwk	hyuʔ(k)
牛	ngjuw	ŋiow˩
羊。	yang	jiɑŋ˩
百	paek	pəʔ(k)
乘	zyingH	ʃʱiŋ˨˦
之	tsyi	tʃɨ
家。	kae	kia
不	pjuw	puʔ(t)
畜	xjuwk	hyuʔ(k)
聚	dzjuH	dzy˨˦
斂	ljemH	liɛm˨˦
之	tsyi	tʃɨ
臣。	dzyin	tʃʰin˩
與	yoX	ʔy˥˧
其	gi	kʰi˩
有	hjuwX	jiow˥˧
聚	dzjuH	dzy˨˦
斂	ljemH	liɛm˨˦
之	tsyi	tʃɨ
臣。	dzyin	tʃʰin˩
甯	nengH	niŋ˨˦
有	hjuwX	jiow˥˧
盜	dawH	daw˨˦
臣。	dzyin	tʃʰin˩
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
國	kwok	kwəʔ(k)
不	pjuw	puʔ(t)
以	yiX	ji˥˧
利	lijH	li˨˦
爲	hjwe	ui˩
利。	lijH	li˨˦
以	yiX	ji˥˧
義	ngjeH	ji˨˦
爲	hjwe	ui˩
利	lijH	li˨˦
也。	yaeX	jiɛ˥˧
長	trjangX	tʃiɑŋ˥˧
國	kwok	kwəʔ(k)
家	kae	kia
而	nyi	ɻ˩
務	mjuH	vu˨˦
財	dzoj	tsʰai˩
用	yowngH	jyuŋ˨˦
者。	tsyaeX	tʃiɛ˥˧
必	pjit	piʔ(t)
自	dzijH	dzɨ˨˦
小	sjewX	siɛw˥˧
人	nyin	ʒin˩
矣。	hiX	ji˥˧
彼	pjeX	pi˥˧
爲	hjwe	ui˩
善	dzyenX	ʃʱiɛn˨˦
之。	tsyi	tʃɨ
小	sjewX	siɛw˥˧
人	nyin	ʒin˩
之	tsyi	tʃɨ
使	sriX	ʂɨ˥˧
爲	hjwe	ui˩
國	kwok	kwəʔ(k)
家。	kae	kia
菑	tsoj	tsai
害	hajH	ɦai˨˦
竝	bengX	biŋ'˨˦
至。	tsyijH	tʃɨ˨˦
雖	swij	sui
有	hjuwX	jiow˥˧
善	dzyenX	ʃʱiɛn'˨˦
者。	tsyaeX	tʃiɛ˥˧
亦	yek	jiʔ(k)˩
無	mju	vu˩
如	nyo	ʒy˩
之	tsyi	tʃɨ
何	ha	ɦɔ˩
矣。	hiX	ji˥˧
此	tshjeX	tsʰɨ˥˧
謂	hjw+jH	ui˨˦
國	kwok	kwəʔ(k)
不	pjuw	puʔ(t)
以	yiX	ji˥˧
利	lijH	li˨˦
爲	hjwe	ui˩
利。	lijH	li˨˦
以	yiX	ji˥˧
義	ngjeH	ji˨˦
爲	hjwe	ui˩
利	lijH	li˨˦
也。	yaeX	jiɛ˥˧
